mode,dist,B,t_us,distinct,wbytes_MB,eff_GBs,tok_s_stage,tokps_gpu_ub63,host_async,iters
w4a8,gate,1,900.0,6.0,19.1,22.3,1111.1,17.6,0.999,100
w4a8,uniform,1,860.7,6.0,19.1,23.3,1161.8,18.4,1.001,100
w4a8,zipf,1,862.9,6.0,19.1,23.2,1158.9,18.4,1.001,100
w4a8,degen,1,860.3,6.0,19.1,23.3,1162.4,18.5,0.999,100
w4a8,gate,4,899.1,23.1,73.5,85.7,4449.0,70.6,1.012,100
w4a8,uniform,4,876.7,23.2,73.9,88.3,4562.4,72.4,1.003,100
w4a8,zipf,4,873.7,17.8,56.6,67.9,4578.4,72.7,1.001,100
w4a8,degen,4,873.6,6.0,19.1,23.0,4578.6,72.7,1.002,100
w4a8,gate,8,908.6,42.3,134.9,155.6,8804.7,139.8,1.002,100
w4a8,uniform,8,875.4,44.5,141.9,170.0,9138.9,145.1,1.004,100
w4a8,zipf,8,877.0,29.3,93.5,111.8,9122.4,144.8,0.997,100
w4a8,degen,8,873.7,6.0,19.1,23.0,9156.0,145.3,1.007,100
w4a8,gate,16,910.1,77.2,246.2,283.7,17580.1,279.0,1.001,100
w4a8,uniform,16,875.6,80.2,255.5,306.0,18273.6,290.1,1.003,100
w4a8,zipf,16,878.3,46.9,149.4,178.3,18217.3,289.2,1.002,100
w4a8,degen,16,876.2,6.0,19.1,22.9,18260.5,289.8,1.004,100
w4a8,gate,32,908.5,126.1,401.8,463.8,35222.4,559.1,1.002,100
w4a8,uniform,32,875.3,135.2,431.0,516.3,36559.9,580.3,1.002,100
w4a8,zipf,32,876.3,72.4,230.6,276.0,36519.0,579.7,1.003,100
w4a8,degen,32,874.3,6.0,19.1,22.9,36601.5,581.0,1.004,100
w4a8,gate,64,908.7,182.6,582.1,671.7,70432.9,1118.0,1.0,100
w4a8,uniform,64,873.8,199.9,637.3,764.7,73246.8,1162.6,1.0,100
w4a8,zipf,64,875.6,104.9,334.3,400.3,73096.0,1160.3,1.001,100
w4a8,degen,64,872.4,6.0,19.1,23.0,73356.8,1164.4,1.004,100
w4a8,gate,96,941.1,210.7,671.6,748.3,102010.8,1619.2,0.969,50
w4a8,uniform,96,993.5,230.6,734.9,775.7,96631.5,1533.8,0.887,50
w4a8,zipf,96,880.0,128.2,408.5,486.8,109092.8,1731.6,1.002,50
w4a8,degen,96,879.9,6.0,19.1,22.8,109105.5,1731.8,1.001,50
w4a8,gate,128,1003.4,226.9,723.4,755.9,127569.2,2024.9,0.906,50
w4a8,uniform,128,1049.8,243.2,775.1,774.2,121930.0,1935.4,0.834,50
w4a8,zipf,128,879.7,147.1,468.9,558.9,145501.1,2309.5,0.997,50
w4a8,degen,128,877.8,6.0,19.1,22.8,145823.6,2314.7,1.003,50
w4a8,gate,192,1096.7,242.8,773.8,739.8,175066.6,2778.8,0.832,50
w4a8,uniform,192,1123.4,253.2,807.0,753.3,170914.7,2712.9,0.787,50
w4a8,zipf,192,882.1,170.7,544.2,646.9,217663.8,3455.0,0.996,50
w4a8,degen,192,878.9,6.0,19.1,22.8,218444.9,3467.4,1.0,50
w4a8,gate,256,1136.1,248.9,793.3,732.2,225334.8,3576.7,0.802,50
w4a8,uniform,256,1141.0,255.2,813.4,747.5,224356.1,3561.2,0.773,50
w4a8,zipf,256,919.0,188.1,599.6,684.2,278557.7,4421.6,0.957,50
w4a8,degen,256,879.9,6.0,19.1,22.8,290934.5,4618.0,1.003,50
w4a8,gate,384,1207.3,253.5,808.0,701.8,318075.1,5048.8,0.752,30
w4a8,uniform,384,1203.0,256.0,816.0,711.2,319194.2,5066.6,0.731,30
w4a8,zipf,384,1062.9,210.3,670.4,661.3,361271.7,5734.5,0.826,30
w4a8,degen,384,878.7,6.0,19.1,22.8,437013.1,6936.7,1.001,30
w4a8,gate,512,1258.3,255.0,812.8,677.3,406901.0,6458.7,0.721,30
w4a8,uniform,512,1230.2,256.0,816.0,695.5,416192.7,6606.2,0.706,30
w4a8,zipf,512,1158.9,224.2,714.6,646.6,441813.2,7012.9,0.751,30
w4a8,degen,512,873.2,6.0,19.1,23.0,586372.7,9307.5,1.002,30
