mode,dist,B,t_us,distinct,wbytes_MB,eff_GBs,tok_s_stage,tokps_gpu_ub63,host_async,iters
w4a16,gate,1,834.0,6.0,76.5,96.2,1199.0,19.0,1.01,100
w4a16,uniform,1,796.1,6.0,76.5,100.8,1256.1,19.9,1.001,100
w4a16,zipf,1,798.0,6.0,76.5,100.5,1253.2,19.9,0.999,100
w4a16,degen,1,796.0,6.0,76.5,100.8,1256.2,19.9,1.003,100
w4a16,gate,4,832.8,22.9,292.5,368.2,4803.0,76.2,1.009,100
w4a16,uniform,4,807.6,23.2,296.4,384.9,4952.6,78.6,1.003,100
w4a16,zipf,4,810.4,18.2,232.3,300.5,4935.6,78.3,1.002,100
w4a16,degen,4,809.3,6.0,76.5,99.1,4942.7,78.5,1.003,100
w4a16,gate,8,841.2,42.8,545.9,680.4,9509.7,150.9,1.0,100
w4a16,uniform,8,811.6,43.5,554.6,716.5,9856.7,156.5,0.999,100
w4a16,zipf,8,811.5,29.3,373.9,483.2,9858.7,156.5,1.001,100
w4a16,degen,8,813.2,6.0,76.5,98.6,9837.2,156.1,1.08,100
w4a16,gate,16,1246.3,77.3,985.7,829.3,12838.0,203.8,0.674,100
w4a16,uniform,16,1279.5,80.6,1027.8,842.3,12505.0,198.5,0.635,100
w4a16,zipf,16,817.3,47.3,602.6,773.1,19575.8,310.7,0.992,100
w4a16,degen,16,811.9,6.0,76.5,98.8,19707.6,312.8,1.003,100
w4a16,gate,32,1950.0,128.0,1632.0,877.6,16410.3,260.5,0.433,100
w4a16,uniform,32,2048.7,135.5,1728.0,884.5,15619.8,247.9,0.397,100
w4a16,zipf,32,1157.4,71.4,910.0,824.5,27647.8,438.9,0.705,100
w4a16,degen,32,810.6,6.0,76.5,99.0,39475.0,626.6,1.002,100
w4a16,gate,64,2739.8,183.2,2335.6,893.9,23359.5,370.8,0.309,100
w4a16,uniform,64,2959.5,200.0,2549.6,903.3,21625.0,343.3,0.273,100
w4a16,zipf,64,1644.5,105.0,1338.4,853.4,38917.0,617.7,0.492,100
w4a16,degen,64,810.2,6.0,76.5,99.0,78991.9,1253.8,1.001,100
w4a16,gate,96,3165.1,212.8,2713.4,898.9,30331.0,481.4,0.267,50
w4a16,uniform,96,3401.8,230.0,2933.1,904.1,28220.3,447.9,0.24,50
w4a16,zipf,96,2012.6,128.1,1633.4,851.0,47699.2,757.1,0.438,50
w4a16,degen,96,813.6,6.0,76.5,98.6,117995.8,1872.9,1.0,50
w4a16,gate,128,3412.3,228.4,2912.6,895.0,37511.6,595.4,0.247,50
w4a16,uniform,128,3610.5,243.9,3109.8,903.2,35451.9,562.7,0.225,50
w4a16,zipf,128,2291.3,144.4,1841.6,842.8,55863.4,886.7,0.354,50
w4a16,degen,128,809.7,6.0,76.5,99.1,158088.0,2509.3,1.002,50
w4a16,gate,192,3662.8,240.8,3069.6,878.7,52418.2,832.0,0.24,50
w4a16,uniform,192,3796.1,253.3,3230.1,892.2,50578.3,802.8,0.215,50
w4a16,zipf,192,2777.5,170.0,2167.9,818.4,69127.5,1097.3,0.295,50
w4a16,degen,192,821.5,6.0,76.5,97.6,233726.4,3709.9,0.989,50
w4a16,gate,256,3855.7,249.1,3176.3,863.8,66395.8,1053.9,0.22,50
w4a16,uniform,256,3902.0,255.5,3257.0,875.3,65607.8,1041.4,0.209,50
w4a16,zipf,256,3190.3,187.2,2386.4,784.4,80243.4,1273.7,0.256,50
w4a16,degen,256,1039.7,6.0,76.5,77.2,246222.9,3908.3,0.784,50
w4a16,gate,384,4075.5,254.1,3240.1,833.6,94221.1,1495.6,0.206,30
w4a16,uniform,384,4032.4,256.0,3263.4,848.6,95229.3,1511.6,0.199,30
w4a16,zipf,384,3664.8,210.4,2682.7,767.6,104781.8,1663.2,0.221,30
w4a16,degen,384,1155.3,6.0,76.5,69.4,332388.5,5276.0,0.705,30
w4a16,gate,512,4279.3,255.4,3256.0,797.8,119646.8,1899.2,0.199,30
w4a16,uniform,512,4189.8,256.0,3264.0,816.9,122201.6,1939.7,0.192,30
w4a16,zipf,512,4167.6,224.1,2857.8,719.0,122853.3,1950.1,0.192,30
w4a16,degen,512,1482.6,6.0,76.5,54.1,345343.6,5481.6,0.545,30
