mode,dist,B,t_us,distinct,wbytes_MB,eff_GBs,tok_s_stage,tokps_gpu_ub63,host_async,iters
w4a16,gate,1,839.2,6.0,19.1,23.9,1191.5,18.9,1.0,100
w4a16,uniform,1,800.1,6.0,19.1,25.1,1249.8,19.8,1.001,100
w4a16,zipf,1,800.0,6.0,19.1,25.1,1250.0,19.8,1.003,100
w4a16,degen,1,800.7,6.0,19.1,25.0,1248.9,19.8,1.001,100
w4a16,gate,4,838.7,23.1,73.5,91.9,4769.5,75.7,1.007,100
w4a16,uniform,4,813.4,23.2,73.9,95.2,4917.7,78.1,1.001,100
w4a16,zipf,4,811.6,17.8,56.6,73.1,4928.6,78.2,1.002,100
w4a16,degen,4,813.0,6.0,19.1,24.7,4919.8,78.1,1.002,100
w4a16,gate,8,846.2,42.3,134.9,167.1,9454.1,150.1,1.002,100
w4a16,uniform,8,812.2,44.5,141.9,183.2,9849.8,156.3,1.003,100
w4a16,zipf,8,813.7,29.3,93.5,120.5,9831.6,156.1,0.998,100
w4a16,degen,8,813.9,6.0,19.1,24.6,9829.5,156.0,0.999,100
w4a16,gate,16,842.0,77.2,246.2,306.6,19001.6,301.6,1.005,100
w4a16,uniform,16,811.6,80.2,255.5,330.1,19713.1,312.9,1.001,100
w4a16,zipf,16,813.8,46.9,149.4,192.5,19661.2,312.1,1.001,100
w4a16,degen,16,812.8,6.0,19.1,24.7,19684.5,312.5,1.003,100
w4a16,gate,32,843.0,126.1,401.8,499.8,37959.3,602.5,1.004,100
w4a16,uniform,32,813.9,135.2,431.0,555.2,39314.6,624.0,1.001,100
w4a16,zipf,32,813.7,72.4,230.6,297.2,39327.5,624.2,1.002,100
w4a16,degen,32,814.0,6.0,19.1,24.6,39310.2,624.0,1.002,100
w4a16,gate,64,842.3,182.6,582.1,724.7,75986.0,1206.1,0.999,100
w4a16,uniform,64,864.7,199.9,637.3,772.8,74017.9,1174.9,0.937,100
w4a16,zipf,64,809.4,104.9,334.3,433.1,79073.9,1255.1,1.003,100
w4a16,degen,64,809.4,6.0,19.1,24.8,79069.8,1255.1,1.004,100
w4a16,gate,96,932.1,210.7,671.6,755.5,102992.3,1634.8,0.909,50
w4a16,uniform,96,988.2,230.6,734.9,779.8,97142.2,1541.9,0.825,50
w4a16,zipf,96,816.8,128.2,408.5,524.5,117537.1,1865.7,1.002,50
w4a16,degen,96,814.3,6.0,19.1,24.6,117892.3,1871.3,1.004,50
w4a16,gate,128,997.7,226.9,723.4,760.2,128289.3,2036.3,0.843,50
w4a16,uniform,128,1042.9,243.2,775.1,779.3,122739.1,1948.2,0.777,50
w4a16,zipf,128,811.9,147.1,468.9,605.6,157649.1,2502.4,1.001,50
w4a16,degen,128,811.8,6.0,19.1,24.7,157681.0,2502.9,1.0,50
w4a16,gate,192,1086.5,242.8,773.8,746.7,176706.7,2804.9,0.779,50
w4a16,uniform,192,1110.6,253.2,807.0,762.0,172881.2,2744.1,0.734,50
w4a16,zipf,192,856.8,170.7,544.2,666.0,224089.3,3557.0,0.95,50
w4a16,degen,192,813.7,6.0,19.1,24.6,235961.8,3745.4,1.002,50
w4a16,gate,256,1125.5,248.9,793.3,739.1,227450.6,3610.3,0.75,50
w4a16,uniform,256,1137.1,255.2,813.4,750.1,225131.9,3573.5,0.718,50
w4a16,zipf,256,965.8,188.1,599.6,651.0,265060.7,4207.3,0.846,50
w4a16,degen,256,816.4,6.0,19.1,24.6,313589.5,4977.6,1.002,50
w4a16,gate,384,1197.5,253.5,808.0,707.5,320668.1,5090.0,0.697,30
w4a16,uniform,384,1188.7,256.0,816.0,719.7,323034.5,5127.5,0.677,30
w4a16,zipf,384,1084.9,210.3,670.4,647.9,353951.7,5618.3,0.742,30
w4a16,degen,384,807.0,6.0,19.1,24.8,475827.3,7552.8,1.002,30
w4a16,gate,512,1241.2,255.0,812.8,686.7,412519.6,6547.9,0.674,30
w4a16,uniform,512,1222.2,256.0,816.0,700.1,418901.9,6649.2,0.66,30
w4a16,zipf,512,1191.7,224.2,714.6,628.8,429625.2,6819.4,0.675,30
w4a16,degen,512,809.6,6.0,19.1,24.8,632378.6,10037.8,1.001,30
